Ref,Val,Package,PosX,PosY,Rot,Side
"R80","4.7k","R_0201_0603Metric",23.570000,53.840000,0.000000,top
"R81","16.9","R_0201_0603Metric",13.610000,58.420000,90.000000,top
"R82","16.9","R_0201_0603Metric",15.140000,58.440000,90.000000,top
"R83","16.9","R_0201_0603Metric",16.890000,61.920000,180.000000,top
"R84","16.9","R_0201_0603Metric",15.840000,59.020000,90.000000,top
"R85","16.9","R_0201_0603Metric",12.120000,58.430000,90.000000,top
"R86","16.9","R_0201_0603Metric",12.900000,58.410000,90.000000,top
"R87","20.5k","R_0201_0603Metric",33.420000,79.530000,0.000000,top
"R90","26.1k","R_0603_1608Metric",43.826800,58.300000,90.000000,top
"R91","10k","R_0201_0603Metric",56.750000,68.230000,180.000000,top
"R92","10k","R_0201_0603Metric",56.590000,68.960000,180.000000,top
"R93","240","R_0201_0603Metric",4.716800,46.080000,180.000000,top
"R97","240","R_0201_0603Metric",5.266800,27.630000,180.000000,top
"R99","4.7k","R_0201_0603Metric",47.986800,61.610000,0.000000,top
"R102","4.7k","R_0201_0603Metric",34.396800,32.000000,0.000000,top
"R105","4.7k","R_0201_0603Metric",36.016800,31.660000,90.000000,top
"R134","4.7k","R_0201_0603Metric",-1.383200,58.220000,90.000000,top
"R137","2.2K .25watt","R_1206_3216Metric",62.183747,70.272572,90.000000,top
"R138","0 ohms","R_0201_0603Metric",24.886587,79.767800,0.000000,top
"R142","240","R_0201_0603Metric",38.016800,9.230000,180.000000,top
"R145","1.1k","R_0201_0603Metric",33.826800,54.900000,0.000000,top
"R146","1.1k","R_0201_0603Metric",31.826800,54.900000,0.000000,top
"R148","1.05meg","R_0201_0603Metric",-8.508200,58.880000,180.000000,top
"R149","27.4","R_0805_2012Metric",-1.480700,67.885000,180.000000,top
"R150","27.4","R_0805_2012Metric",-1.473200,63.485000,180.000000,top
"R159","12k","R_0201_0603Metric",-10.923200,54.700000,90.000000,top
"R160","100k","R_0201_0603Metric",-10.923200,56.200000,90.000000,top
"R161","1.1k","R_0201_0603Metric",-10.330000,50.060000,90.000000,top
"R182","16.9","R_0201_0603Metric",37.696800,31.915000,-90.000000,top
"R183","0 ohms","R_0201_0603Metric",40.326800,30.640000,-90.000000,top
"R184","0 ohms","R_0201_0603Metric",39.496800,30.630000,-90.000000,top
"R185","4.7k","R_0201_0603Metric",37.616800,30.560000,0.000000,top
"R186","100","R_0805_2012Metric",27.546800,13.520000,180.000000,top
"R187","150","R_0805_2012Metric",24.376800,13.022500,-90.000000,top
"R188","22","R_0201_0603Metric",30.420000,61.320000,180.000000,top
"R189","12k","R_0201_0603Metric",21.150000,65.870000,0.000000,top
"RV1","CG0402MLU-3.3G","VARC1005X41N",35.096800,62.850000,90.000000,top
"RV2","CG0402MLU-3.3G","VARC1005X41N",37.596800,62.880000,90.000000,top
"RV3","CG0402MLU-3.3G","VARC1005X41N",40.166800,62.870000,90.000000,top
"RV4","CG0402MLU-3.3G","VARC1005X41N",42.776800,62.850000,90.000000,top
